"Store","Register #","Open Time","Close Time","Open By","Close By","Total Net","Total Deposits","Cash Sales","Cash Deposits","Cash Refunds","Cash Rounded","Cash Net","Credit Card Sales","Credit Card Deposits","Credit Card Refunds","Credit Card Net","Debit Card Sales","Debit Card Deposits","Debit Card Refunds","Debit Card Net","QR Sales","QR Deposits","QR Refunds","QR Net","SR Tax: 0% ","Total Tax","Cancelled Transactions","Cancelled Amount","Discounted Transactions","Discounted Amount","Pay Out","Pay Out Details","Pay In","Pay In Details","Opening Amount","Expected Drawer","Actual Drawer","Cash Drawer Over/Short","QR Order and Pay Sales","Beep Cashback Discount"
"Gembira Momento","1","05/27/2026 10:39","05/27/2026 23:10",". Putri",". Putri","429.00","0.00","157.00","0.00","0.00","0.00","157.00","120.00","0.00","0.00","120.00","152.00","0.00","0.00","152.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","2","100.00","104.00","104: Cash Withdrawal","0.00","","40.00","93.00","71.00","-22.00","0.00","0.00"
"Gembira Momento","1","05/28/2026 10:42","05/28/2026 23:00",". Ayuni",". Putri","1148.00","0.00","482.00","0.00","0.00","0.00","482.00","31.00","0.00","0.00","31.00","507.00","0.00","0.00","507.00","128.00","0.00","0.00","128.00","0.00","0.00","1","15.00","9","72.00","0.00","","4.00","4: Other tips","71.00","557.00","557.00","0.00","0.00","0.00"
"Gembira Momento","1","05/29/2026 11:00","05/29/2026 23:00","_ Faris",". Putri","631.00","0.00","79.00","0.00","0.00","0.00","79.00","58.00","0.00","0.00","58.00","108.00","0.00","0.00","108.00","386.00","0.00","0.00","386.00","0.00","0.00","1","34.00","4","46.00","0.00","","0.00","","46.00","125.00","95.00","-30.00","0.00","0.00"
"Gembira Momento","1","05/30/2026 11:02","05/30/2026 23:00","_ Faris",". Putri","1472.00","0.00","643.00","0.00","0.00","0.00","643.00","492.00","0.00","0.00","492.00","261.00","0.00","0.00","261.00","76.00","0.00","0.00","76.00","0.00","0.00","2","73.00","10","91.00","110.00","100: Cash Withdrawal; 10: Cash Withdrawal","10.00","10: Other tips","95.00","638.00","638.00","0.00","0.00","0.00"
"Gembira Momento","1","05/31/2026 11:01","05/31/2026 23:00","_ Faris",". Putri","1080.00","0.00","524.00","0.00","0.00","0.00","524.00","120.00","0.00","0.00","120.00","298.00","0.00","0.00","298.00","138.00","0.00","0.00","138.00","0.00","0.00","0","0.00","13","202.00","0.00","","0.00","","108.00","632.00","632.00","0.00","0.00","0.00"
"Gembira Momento","1","06/01/2026 11:03","06/01/2026 23:11","_ Faris",". Putri","640.00","0.00","349.00","0.00","0.00","0.00","349.00","94.00","0.00","0.00","94.00","161.00","0.00","0.00","161.00","36.00","0.00","0.00","36.00","0.00","0.00","0","0.00","4","53.00","6.00","6: Cash Withdrawal","0.00","","92.00","435.00","435.00","0.00","0.00","0.00"
"Gembira Momento","1","06/02/2026 11:01","06/02/2026 23:06","_ Faris",". Putri","558.00","0.00","308.00","0.00","0.00","0.00","308.00","182.00","0.00","0.00","182.00","19.00","0.00","0.00","19.00","49.00","0.00","0.00","49.00","0.00","0.00","1","20.00","2","27.00","0.00","","0.00","","45.00","353.00","353.00","0.00","0.00","0.00"
"Gembira Momento","1","06/03/2026 10:42","06/03/2026 23:21",". Ayuni",". Putri","440.00","0.00","85.00","0.00","0.00","0.00","85.00","99.00","0.00","0.00","99.00","256.00","0.00","0.00","256.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","5","51.00","15.00","15: Cash Withdrawal","0.00","","33.00","103.00","103.00","0.00","0.00","0.00"
"Gembira Momento","1","06/04/2026 10:39","06/04/2026 23:00",". Ayuni",". Putri","602.00","0.00","123.00","0.00","0.00","0.00","123.00","203.00","0.00","0.00","203.00","197.00","0.00","0.00","197.00","79.00","0.00","0.00","79.00","0.00","0.00","0","0.00","3","22.00","10.00","10: Cash Withdrawal","0.00","","103.00","216.00","216.00","0.00","0.00","0.00"
"Gembira Momento","1","06/05/2026 10:56","06/05/2026 23:00","_ Faris",". Ain","460.00","0.00","49.00","0.00","0.00","0.00","49.00","50.00","0.00","0.00","50.00","291.00","0.00","0.00","291.00","70.00","0.00","0.00","70.00","0.00","0.00","0","0.00","5","50.00","0.00","","1.00","1: Add Change","46.00","96.00","96.00","0.00","0.00","0.00"
"Gembira Momento","1","06/06/2026 10:48","06/06/2026 23:32",". Ain","_ Faris","399.00","0.00","167.00","0.00","0.00","0.00","167.00","78.00","0.00","0.00","78.00","151.00","0.00","0.00","151.00","3.00","0.00","0.00","3.00","0.00","0.00","1","15.00","2","12.00","50.00","50: Cash Withdrawal","0.00","","96.00","213.00","213.00","0.00","0.00","0.00"
"Gembira Momento","1","06/07/2026 12:06","06/07/2026 23:00",". Putri",". Putri","667.00","0.00","435.00","0.00","0.00","0.00","435.00","149.00","0.00","0.00","149.00","56.00","0.00","0.00","56.00","27.00","0.00","0.00","27.00","0.00","0.00","0","0.00","4","46.00","50.00","50: Cash Withdrawal","50.00","50: Add Change","63.00","498.00","498.00","0.00","0.00","0.00"
"Gembira Momento","1","06/08/2026 11:03","06/08/2026 23:12","_ Faris",". Putri","447.00","0.00","288.00","0.00","0.00","0.00","288.00","110.00","0.00","0.00","110.00","19.00","0.00","0.00","19.00","30.00","0.00","0.00","30.00","0.00","0.00","0","0.00","2","25.00","13.00","13: Cash Withdrawal","0.00","","48.00","323.00","323.00","0.00","0.00","0.00"
"Gembira Momento","1","06/09/2026 11:10","06/09/2026 23:07",". Ayuni","_ Faris","956.00","0.00","235.00","0.00","0.00","0.00","235.00","0.00","0.00","0.00","0.00","187.00","0.00","0.00","187.00","534.00","0.00","0.00","534.00","0.00","0.00","0","0.00","4","88.00","100.00","100: Cash Withdrawal","0.00","","61.00","196.00","196.00","0.00","0.00","0.00"
"Gembira Momento","1","06/10/2026 10:55","06/10/2026 23:02","_ Faris",". Putri","1700.00","0.00","652.00","0.00","0.00","0.00","652.00","636.00","0.00","0.00","636.00","247.00","0.00","0.00","247.00","165.00","0.00","0.00","165.00","0.00","0.00","1","57.00","10","86.00","0.00","","0.00","","196.00","848.00","848.00","0.00","0.00","0.00"
"Gembira Momento","1","06/11/2026 11:02","06/11/2026 23:13","_ Faris",". Putri","1120.00","0.00","693.00","0.00","0.00","0.00","693.00","148.00","0.00","0.00","148.00","244.00","0.00","0.00","244.00","35.00","0.00","0.00","35.00","0.00","0.00","0","0.00","8","81.00","0.00","","0.00","","96.00","789.00","789.00","0.00","0.00","0.00"
"Gembira Momento","1","06/12/2026 10:46","06/12/2026 23:00",". Putri",". Putri","417.00","0.00","169.00","0.00","0.00","0.00","169.00","0.00","0.00","0.00","0.00","89.00","0.00","0.00","89.00","159.00","0.00","0.00","159.00","0.00","0.00","0","0.00","3","19.00","20.00","20: Cash Withdrawal","20.00","20: Add Change","104.00","273.00","273.00","0.00","0.00","0.00"
"Gembira Momento","1","06/13/2026 10:55","06/13/2026 23:33",". Ayuni",". Putri","1007.00","0.00","286.00","0.00","0.00","0.00","286.00","94.00","0.00","0.00","94.00","274.00","0.00","0.00","274.00","353.00","0.00","0.00","353.00","0.00","0.00","1","10.00","5","39.00","0.00","","0.00","","105.00","391.00","391.00","0.00","0.00","0.00"
"Gembira Momento","1","06/14/2026 10:54","06/14/2026 23:01",". Ain",". Putri","864.00","0.00","110.00","0.00","0.00","0.00","110.00","20.00","0.00","0.00","20.00","601.00","0.00","0.00","601.00","133.00","0.00","0.00","133.00","0.00","0.00","0","0.00","4","35.00","0.00","","0.00","","81.00","191.00","191.00","0.00","0.00","0.00"
"Gembira Momento","1","06/15/2026 10:43","06/15/2026 23:03",". Ayuni","_ Faris","1013.00","0.00","132.00","0.00","0.00","0.00","132.00","273.00","0.00","0.00","273.00","464.00","0.00","0.00","464.00","144.00","0.00","0.00","144.00","0.00","0.00","0","0.00","9","127.00","0.00","","0.00","","41.00","173.00","173.00","0.00","0.00","0.00"
"Gembira Momento","1","06/16/2026 11:10","06/16/2026 23:09","_ Faris",". Putri","709.00","0.00","418.00","0.00","0.00","0.00","418.00","20.00","0.00","0.00","20.00","20.00","0.00","0.00","20.00","251.00","0.00","0.00","251.00","0.00","0.00","2","44.00","7","95.00","0.00","","0.00","","173.00","591.00","591.00","0.00","0.00","0.00"
"Gembira Momento","1","06/17/2026 11:03","06/17/2026 23:08","_ Faris",". Putri","476.00","0.00","118.00","0.00","0.00","0.00","118.00","190.00","0.00","0.00","190.00","123.00","0.00","0.00","123.00","45.00","0.00","0.00","45.00","0.00","0.00","1","15.00","8","51.00","18.00","18: Cash Withdrawal","0.00","","103.00","203.00","203.00","0.00","0.00","0.00"
"Gembira Momento","1","06/18/2026 10:48","06/18/2026 23:09",". Ayuni",". Ain","606.00","0.00","331.00","0.00","0.00","0.00","331.00","121.00","0.00","0.00","121.00","85.00","0.00","0.00","85.00","69.00","0.00","0.00","69.00","0.00","0.00","2","62.00","4","28.00","0.00","","0.00","","161.00","492.00","492.00","0.00","0.00","0.00"
"Gembira Momento","1","06/19/2026 10:54","06/19/2026 23:11","_ Faris",". Putri","775.00","0.00","336.00","0.00","0.00","0.00","336.00","54.00","0.00","0.00","54.00","286.00","0.00","0.00","286.00","99.00","0.00","0.00","99.00","0.00","0.00","1","15.00","11","79.00","0.00","","0.00","","92.00","428.00","428.00","0.00","0.00","0.00"
"Gembira Momento","1","06/20/2026 10:49","06/20/2026 23:18",". Putri",". Putri","695.00","0.00","348.00","0.00","0.00","0.00","348.00","47.00","0.00","0.00","47.00","243.00","0.00","0.00","243.00","57.00","0.00","0.00","57.00","0.00","0.00","0","0.00","6","36.00","30.00","30: Cash Withdrawal","30.00","30: Add Change","98.00","446.00","446.00","0.00","0.00","0.00"
"Gembira Momento","1","06/21/2026 11:10","06/21/2026 23:00",". Ain",". Putri","730.00","0.00","550.00","0.00","0.00","0.00","550.00","80.00","0.00","0.00","80.00","5.00","0.00","0.00","5.00","95.00","0.00","0.00","95.00","0.00","0.00","0","0.00","7","81.00","0.00","","0.00","","70.00","620.00","620.00","0.00","0.00","0.00"
"Gembira Momento","1","06/22/2026 11:08","06/22/2026 23:04",". Putri","_ Faris","575.00","0.00","135.00","0.00","0.00","0.00","135.00","181.00","0.00","0.00","181.00","204.00","0.00","0.00","204.00","55.00","0.00","0.00","55.00","0.00","0.00","0","0.00","4","19.00","0.00","","0.00","","80.00","215.00","214.00","-1.00","0.00","0.00"
"Gembira Momento","1","06/23/2026 11:05","06/23/2026 23:00","_ Faris",". Putri","553.00","0.00","91.00","0.00","0.00","0.00","91.00","398.00","0.00","0.00","398.00","0.00","0.00","0.00","0.00","64.00","0.00","0.00","64.00","0.00","0.00","0","0.00","7","56.00","0.00","","0.00","","64.00","155.00","155.00","0.00","0.00","0.00"
